episode,return,moving_avg_30
1,-0.41499999999999976,-0.41499999165534973
2,-0.8929999999999998,-0.6539999842643738
3,-0.9299999999999999,-0.7459999918937683
4,-0.4079999999999997,-0.6614999771118164
5,-0.6279999999999999,-0.6547999978065491
6,-0.41499999999999976,-0.6148332953453064
7,-0.827,-0.6451428532600403
8,-0.49999999999999967,-0.6269999742507935
9,-0.649,-0.629444420337677
10,-0.41299999999999976,-0.6078000068664551
11,-0.635,-0.6102727651596069
12,-0.4499999999999998,-0.596916675567627
13,-0.7909999999999999,-0.6118461489677429
14,-0.8449999999999998,-0.6284999847412109
15,-0.6059999999999999,-0.6269999742507935
16,-0.5909999999999997,-0.624750018119812
17,-0.847,-0.6378235816955566
18,-1.0129999999999988,-0.658666729927063
19,-0.6839999999999997,-0.6600000262260437
20,-0.7039999999999997,-0.6622000932693481
21,-0.3079999999999996,-0.6453334093093872
22,-0.7470000000000001,-0.6499545574188232
23,-1.0069999999999997,-0.6654782891273499
24,-0.5349999999999997,-0.6600416898727417
25,-0.772,-0.6645200252532959
26,-0.40799999999999964,-0.6546538472175598
27,-0.855,-0.6620740294456482
28,-0.4429999999999997,-0.6542500257492065
29,-0.5979999999999999,-0.652310311794281
30,-0.6500000000000001,-0.6522333025932312
31,-0.6819999999999999,-0.6611332297325134
32,-0.8379999999999999,-0.6592999696731567
33,-0.8540000000000001,-0.6567666530609131
34,-0.4859999999999998,-0.6593666076660156
35,-0.6549999999999998,-0.6602666974067688
36,-0.6399999999999999,-0.6677666306495667
37,-0.5679999999999994,-0.6591333150863647
38,-0.4079999999999997,-0.6560666561126709
39,-0.9460000000000002,-0.6659666895866394
40,-0.4079999999999997,-0.6657999753952026
41,-0.6319999999999995,-0.6657000184059143
42,-0.8109999999999999,-0.6777333617210388
43,-0.3079999999999996,-0.6616333723068237
44,-0.8160000000000003,-0.6606666445732117
45,-0.4499999999999998,-0.6554667353630066
46,-0.5129999999999997,-0.6528667211532593
47,-0.667,-0.6468667387962341
48,-0.8109999999999999,-0.6401334404945374
49,-0.49999999999999967,-0.6340000033378601
50,-0.5269999999999995,-0.6281000375747681
51,-0.4719999999999997,-0.6335667371749878
52,-0.37899999999999967,-0.6212999820709229
53,-0.635,-0.6089000105857849
54,-0.6039999999999996,-0.6112000346183777
55,-0.6039999999999999,-0.6056000590324402
56,-0.7029999999999998,-0.6154333353042603
57,-0.669,-0.6092333197593689
58,-0.37899999999999967,-0.6070999503135681
59,-0.5909999999999995,-0.6068666577339172
60,-0.4499999999999998,-0.6001999974250793
61,-0.6749999999999994,-0.5999666452407837
62,-0.5529999999999999,-0.5904666185379028
63,-0.4079999999999997,-0.5755999088287354
64,-0.3079999999999996,-0.5696666240692139
65,-0.6839999999999999,-0.5706332921981812
66,-1.0789999999999904,-0.5852667093276978
67,-0.6109999999999995,-0.5867000222206116
68,-0.5399999999999998,-0.5911000370979309
69,-0.6599999999999997,-0.5815666913986206
70,-0.3439999999999997,-0.5794333815574646
71,-0.7089999999999999,-0.5820000171661377
72,-0.5349999999999997,-0.5727999806404114
73,-0.6449999999999998,-0.5840333104133606
74,-0.3079999999999996,-0.5670999884605408
75,-0.3079999999999996,-0.5623666644096375
76,-0.5549999999999995,-0.5637666583061218
77,-0.3079999999999996,-0.5517999529838562
78,-0.5279999999999996,-0.5423666834831238
79,-0.7459999999999998,-0.5505666136741638
80,-0.3079999999999996,-0.5432666540145874
81,-0.3079999999999996,-0.5378000140190125
82,-0.41499999999999976,-0.5389999747276306
83,-0.3079999999999996,-0.5280999541282654
84,-0.808,-0.5348999500274658
85,-0.6259999999999994,-0.5356332659721375
86,-0.41299999999999976,-0.5259666442871094
87,-0.77,-0.5293333530426025
88,-0.6269999999999998,-0.5375999808311462
89,-0.5759999999999998,-0.5370999574661255
90,-0.5759999999999996,-0.5412999987602234
91,-0.3079999999999996,-0.5290666818618774
92,-0.4819999999999998,-0.5267000198364258
93,-0.6059999999999999,-0.53329998254776
94,-0.5199999999999996,-0.5403667092323303
95,-0.4859999999999998,-0.5337666869163513
96,-0.4499999999999998,-0.5127999782562256
97,-0.43599999999999967,-0.5069666504859924
98,-0.8369999999999997,-0.5168666839599609
99,-0.7850000000000001,-0.5210332870483398
100,-0.5049999999999997,-0.5263999700546265
101,-0.71,-0.5264332890510559
102,-0.5759999999999996,-0.5278000235557556
103,-0.44399999999999973,-0.5210999846458435
104,-0.9009999999999998,-0.5408667325973511
105,-1.0139999999999985,-0.5644000172615051
106,-0.5209999999999999,-0.5632666945457458
107,-0.3079999999999996,-0.5632667541503906
108,-0.4499999999999998,-0.5606667399406433
109,-0.6039999999999996,-0.5559332966804504
110,-0.5359999999999998,-0.5635332465171814
111,-0.3079999999999996,-0.5635332465171814
112,-0.41499999999999976,-0.563533365726471
113,-0.41499999999999976,-0.5671001076698303
114,-0.6469999999999996,-0.5617333054542542
115,-0.722,-0.5649333596229553
116,-0.6059999999999999,-0.5713666677474976
117,-0.6239999999999994,-0.5665000081062317
118,-0.7469999999999999,-0.5705000162124634
119,-0.37899999999999967,-0.5639333128929138
120,-0.5889999999999997,-0.5643666982650757
121,-0.5559999999999996,-0.5726333260536194
122,-0.4719999999999997,-0.5722999572753906
123,-0.4719999999999997,-0.5678333044052124
